Рейтинг	Ранг [П]	До повышения Ранг [П]	Ранг [С]	До повышения Ранг [С]	Тэг	Гарант. слотов	Посещаемость	Выживаемость	Смертей	Убийств [Всего]	Убийств [Пехота]	Убийств [Техника]	Убийств [Союзников, ТК]	У/П	У/C	ТК/П	ТК/У	C/П	УНС	КПД [КС]	КПД [П]	КПД [С]	КПД [Взвешенный, П]	КПД [Взвешенный, С]	Риск-индекс	Смертность [%]	Убийств [% Пехота]	Убийств [% Техника]
1	2	1,65	1	0,00	DELTA	12	695	107	588	1326	1174	152	27	1,91	2,26	0,04	0,02	0,85	110,50	0,014	1,86	2,21	22,35	26,52	1,03	84,60%	88,54%	11,46%
2	3	1,99	2	1,59	DWI	10	494	78	416	764	719	45	20	1,55	1,84	0,04	0,03	0,84	76,40	0,071	1,55	1,84	15,51	18,41	0,84	84,21%	94,11%	5,89%
3	4	1,50	3	1,86	KPblM	12	719	98	621	1000	775	225	17	1,39	1,61	0,02	0,02	0,86	83,33	0,025	1,38	1,59	16,50	19,14	0,75	86,37%	77,50%	22,50%
4	4	1,51	3	1,68	MERCY	10	609	87	522	851	709	142	27	1,40	1,63	0,04	0,03	0,86	85,10	0,028	1,35	1,58	13,49	15,82	0,75	85,71%	83,31%	16,69%
5	4	1,35	4	0,65	SSG	6	422	35	387	542	515	27	9	1,28	1,40	0,02	0,02	0,92	90,33	0,029	1,28	1,39	7,65	8,35	0,67	91,71%	95,02%	4,98%
6	5	0,63	4	0,21	RM	11	734	142	592	882	724	158	32	1,20	1,49	0,04	0,04	0,81	80,18	0,071	1,19	1,48	13,12	16,29	0,67	80,65%	82,09%	17,91%
7	5	1,05	4	1,24	SPARTA	7	493	82	411	548	492	56	20	1,11	1,33	0,04	0,04	0,83	78,29	0,066	1,10	1,32	7,70	9,26	0,61	83,37%	89,78%	10,22%
8	6	0,71	5	0,03	75th	9	573	148	425	536	451	85	15	0,94	1,26	0,03	0,03	0,74	59,56	0,040	0,92	1,25	8,29	11,22	0,54	74,17%	84,14%	15,86%
9	6	0,68	5	1,47	GNT	8	600	81	519	580	524	56	27	0,97	1,12	0,05	0,05	0,87	72,50	0,040	0,92	1,07	7,32	8,53	0,52	86,50%	90,34%	9,66%
10	6	0,54	5	1,39	inTeam	6	448	46	402	419	380	39	14	0,94	1,04	0,03	0,03	0,90	69,83	0,040	0,91	1,02	5,46	6,11	0,49	89,73%	90,69%	9,31%
11	6	1,22	5	2,06	SR	9	631	91	540	586	504	82	25	0,93	1,09	0,04	0,04	0,86	65,11	0,018	0,86	1,02	7,78	9,19	0,50	85,58%	86,01%	13,99%
12	6	1,89	5	1,72	Guard	11	739	183	556	596	466	130	30	0,81	1,07	0,04	0,05	0,75	54,18	0,113	0,83	1,09	9,11	12,03	0,46	75,24%	78,19%	21,81%
13	6	1,67	6	0,22	SIGMA	7	467	97	370	369	303	66	21	0,79	1,00	0,04	0,06	0,79	52,71	0,073	0,76	0,97	5,33	6,78	0,44	79,23%	82,11%	17,89%
14	7	0,09	6	0,64	OMCB	12	738	144	594	620	414	206	34	0,84	1,04	0,05	0,05	0,80	51,67	0,004	0,74	0,95	8,92	11,36	0,47	80,49%	66,77%	33,23%
15	7	0,16	6	1,49	VDV	10	676	85	591	544	406	138	21	0,80	0,92	0,03	0,04	0,87	54,40	0,000	0,74	0,85	7,35	8,51	0,43	87,43%	74,63%	25,37%
16	7	0,43	6	1,76	ODK	9	578	68	510	439	310	129	21	0,76	0,86	0,04	0,05	0,88	48,78	0,028	0,70	0,80	6,33	7,24	0,40	88,24%	70,62%	29,38%
17	7	0,35	6	1,27	MIR	6	406	45	361	311	279	32	17	0,77	0,86	0,04	0,05	0,89	51,83	0,023	0,69	0,79	4,15	4,73	0,41	88,92%	89,71%	10,29%
18	7	0,55	6	1,96	GL	8	497	43	454	380	317	63	23	0,76	0,84	0,05	0,06	0,91	47,50	0,025	0,68	0,76	5,46	6,04	0,40	91,35%	83,42%	16,58%
19	7	0,46	6	0,69	AT	6	339	81	258	228	170	58	14	0,67	0,88	0,04	0,06	0,76	38,00	0,104	0,67	0,89	4,04	5,31	0,38	76,11%	74,56%	25,44%
20	7	0,73	6	0,19	TT	9	604	176	428	453	319	134	36	0,75	1,06	0,06	0,08	0,71	50,33	0,059	0,67	0,98	6,03	8,81	0,44	70,86%	70,42%	29,58%
21	7	1,28	6	1,83	V	11	646	147	499	436	311	125	22	0,67	0,87	0,03	0,05	0,77	39,64	0,044	0,63	0,83	6,98	9,17	0,38	77,24%	71,33%	28,67%
22	7	0,92	6	1,62	TMR	8	496	94	402	342	282	60	19	0,69	0,85	0,04	0,06	0,81	42,75	0,040	0,64	0,80	5,09	6,38	0,38	81,05%	82,46%	17,54%
